ID,Invitado,Job Title,Podcast,quote,Topics,Grabado desde País,Grabado desde Ciudad,Slider,Date created,AppelPodcast,spotify
1,Mariana Flores Mayen,Directora Ejecutiva de Representación Institucional CDMX,"CDMX: escuchar y compartir, una estrategia de inserción internacional",,"Internacionalización, Gobernanza, Espacio Público",México,Puebla,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000475488505,https://open.spotify.com/episode/10TOlsvfqhHOkCL9aWssPs?si=zkfaJEmIRjC3qXHM_euwQQ
2,Juan Ortiz,Director del Consorcio de Transportes de Zaragoza,Del transporte público colectivo a las plataformas de movilidad,,"Movilidad, Urbanismo, Gobernanza",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000391320970,https://open.spotify.com/episode/121bmQ3T8lnOp85lFAeQre?si=9fERZqT5QV2d_qSI3NDG_A
3,Carlos Felipe Pardo,Senior Manager - Pilots at NUMO -New Urban Mobility Alliance,Ir más despacio para llegar antes,,"Movilidad, Sostenibilidad, Innovación",EEUU,Washington,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000440992766,https://open.spotify.com/episode/4cVnj89Sz5k6GMNvy9seXH?si=_ECPF-daSACE1l_np5RbrQ
4,Nancy Lozano,Economista Senior Banco Mundial,Big data y urbanismo: lo importante son las preguntas,,"Datos, Urbanismo, Gobernanza",El Salvador,San Salvador,FALSE,2021-01-25,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000465633344,https://open.spotify.com/episode/0nSCEfBLhdGEIwqYejFc7X?si=1JkctXS2Rn28h9VYkaA2mQ
5,Joao Porto de Albuquerque,"Director, Institute for Global Sustainable Development, University of Warwick",Waterproofing data,,"Datos, Gov-Tech, Resiliencia",España,Barcelona,FALSE,2022-03-07,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000468470173,https://open.spotify.com/episode/1tO3ZccyHfDhGwiaHgDPfy?si=MspJAZTjQJK5sWqknL5okw
6,Jordi Honey-Roses,"Assistant Professor at the School of Community and Regional Planning, University of British Columbia","En las ciudades, experimentar no es improvisar",,"Urbanismo, Innovación, Espacio Público",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000450957597,https://open.spotify.com/episode/6S9r9XB3luPtZdVcb29yn3?si=vpw7_Of2TYy70b2dzre_Aw
7,Verónica Mansilla,Arquitecta fundadora del Estudio Trecediecinueve,"Las ciudades son ""cosa de niños""",,"Urbanismo, Equidad, Espacio Público",España,Barcelona,FALSE,2017-05-05,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000425048218,https://open.spotify.com/episode/0kLbHUKsjhfBfziEuwFlDw?si=F1Dyd9UsTxSC5uhj4fN2tA
8,Guillermo Peñalosa,Fundador y presidente de Ciudades 8 80,"Ciudades 880, para los de 8 y los de 80",,"Espacio Público, Equidad, Movilidad",Canada,Toronto,FALSE,2017-02-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000408860992,https://open.spotify.com/episode/77oQtFWpwU8ybMPLY3r7mk?si=PMwOgL1XQ522FpFhpFq0Lg
9,Elkin Velasquez,Director ONUHabitat Latinoamérica y el Caribe,El Malestar en las ciudades,,"Urbanismo, Equidad, Gobernanza",Brasil,Rio de Janeiro,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000460870405,https://open.spotify.com/episode/54kxLwjThkwS4kI9UeHhzx?si=T6REzC3NQD2j-HEVYyuP_Q
10,Elkin Velasquez,Director ONUHabitat Latinoamérica y el Caribe,La implementación de la nueva agenda urbana - WUF9 Kuala Lumpur,,"Internacionalización, Resiliencia, Gobernanza",Brasil,Rio de Janeiro,FALSE,2022-03-16,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000404429488,https://open.spotify.com/episode/3LKvaPrpOR5x7wuAZCGQdp?si=4lhxti-eQ2qqBu74AoLxUg
